ID,Document,Metadata
bay_ir_2025.pdf::chunk::0,"1/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
【表紙】
【提出書類】 有価証券報告書
【根拠条文】 金融商品取引法第24条第１項
【提出先】 関東財務局長
【提出日】 2025年５月28日
【事業年度】 第11期(自 2024年３月１日 至 2025年２月28日)
【会社名】 株式会社ベイカレント
【英訳名】 BayCurrent, Inc.
【代表者の役職氏名】 代表取締役社長 北風 大輔
【本店の所在の場所】 東京都港区麻布台一丁目３番１号
【電話番号】 (０３)５５４４−９３３１(代表)
【事務連絡者氏名】 取締役最高財務責任者 中村 公亮
【最寄りの連絡場所】 東京都港区麻布台一丁目３番１号
【電話番号】 (０３)５５４４−９３３１(代表)
【事務連絡者氏名】 取締役最高財務責任者 中村 公亮
【縦覧に供する場所】 株式会社東京証券取引所
(東京都中央区日本橋兜町２番１号)","{'source': 'bay_ir_2025.pdf', 'chunk_index': 0}"
bay_ir_2025.pdf::chunk::1,"2/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
第一部 【企業情報】
第１ 【企業の概況】
１ 【主要な経営指標等の推移】
(1) 連結経営指標等
第７期 第８期 第９期 第10期 第11期
回次
−単体− −単体− −単体− −単体− −連結−
決算年月 2021年２月 2022年２月 2023年２月 2024年２月 2025年２月
売上収益 (百万円) 42,873 57,642 76,090 93,909 116,056
税引前利益 (百万円) 13,477 21,469 29,875 34,160 42,546
親会社の所有者に帰属
(百万円) 10,014 15,544 21,910 25,382 30,760
する当期利益
親会社の所有者に帰属
(百万円) 10,014 15,544 21,910 25,382 30,760
する当期包括利益
親会社の所有者に帰属
(百万円) 30,018 41,701 57,341 74,127 94,401
する持分
資産合計 (百万円) 46,003 58,136 75,265 99,883 124,665
１株当たり親会社
(円) 195.81 271.59 374.20 485.18 620.82
所有者帰属持分
基本的１株当たり","{'source': 'bay_ir_2025.pdf', 'chunk_index': 1}"
bay_ir_2025.pdf::chunk::2,"(円) 195.81 271.59 374.20 485.18 620.82
所有者帰属持分
基本的１株当たり
(円) 65.45 101.39 142.96 166.04 202.16
当期利益
希薄化後１株当たり
(円) 65.24 101.12 ― ― ―
当期利益
親会社所有者帰属持分
(％) 65.3 71.7 76.2 74.2 75.7
比率
親会社所有者帰属持分
(％) 38.9 43.3 44.2 38.6 36.5
当期利益率
株価収益率 (倍) 32.8 44.7 37.4 20.2 31.5
営業活動による
(百万円) 12,135 16,018 21,635 24,348 32,648
キャッシュ・フロー
投資活動による
(百万円) △364 △147 △2,256 △3,754 △3,532
キャッシュ・フロー
財務活動による
(百万円) △3,504 △6,110 △8,829 △11,422 △14,342
キャッシュ・フロー
現金及び現金同等物の
(百万円) 16,295 26,056 36,606 45,778 60,552
期末残高
従業員数 (名) 2,161 2,638 3,310 4,321 5,467","{'chunk_index': 2, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::3,"期末残高
従業員数 (名) 2,161 2,638 3,310 4,321 5,467
(注) １．当社は、国際会計基準(以下、「IFRS」という。)に基づいて連結財務諸表を作成しております。
２．当社は、第11期より連結財務諸表を作成しているため、第７期から第10期までは連結経営指標等に代えて、
提出会社の経営指標等について記載しております。
３．従業員数は就業人員であります。なお、平均臨時雇用人員については、従業員数の100分の10未満であるた
め、記載を省略しております。
４．当社は、2022年11月１日付で普通株式１株につき10株の割合で株式分割を行いましたが、１株当たり親会社
所有者帰属持分、基本的１株当たり当期利益及び希薄化後１株当たり当期利益については、第７期の期首に
当該株式分割が行われたと仮定して算定しております。なお、第９期、第10期及び第11期の希薄化後１株当
たり当期利益については、希薄化効果を有している潜在株式が存在しないため、記載しておりません。","{'chunk_index': 3, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::4,"3/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
(2) 提出会社の経営指標等
回次 第７期 第８期 第９期 第10期 第11期
決算年月 2021年２月 2022年２月 2023年２月 2024年２月 2025年２月
売上収益 (百万円) 42,828 57,465 76,090 93,909 64,894
経常利益 (百万円) 12,596 20,619 29,029 33,526 18,469
当期純利益 (百万円) 9,113 14,670 21,026 24,648 13,329
持分法を適用した場合
(百万円) ― ― ― ― ―
の投資利益
資本金 (百万円) 282 282 282 282 282
発行済株式総数 (株) 15,541,141 15,541,141 155,411,410 155,411,410 155,411,410
純資産額 (百万円) 24,502 35,533 50,421 66,487 69,650
総資産額 (百万円) 38,173 50,260 66,572 84,230 91,929
１株当たり純資産額 (円) 159.83 231.42 329.03 435.17 458.05
１株当たり配当額 170.00 260.00 163.00 43.00 62.00
(うち、１株当たり (円)
(55.00) (90.00) (140.00) (18.00) (25.00)","{'chunk_index': 4, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::5,"(うち、１株当たり (円)
(55.00) (90.00) (140.00) (18.00) (25.00)
中間配当額)
１株当たり当期純利益 (円) 59.56 95.69 137.18 161.25 87.61
潜在株式調整後１株
(円) 59.37 95.44 ― ― ―
当たり当期純利益
自己資本比率 (％) 64.2 70.7 75.7 78.9 75.8
自己資本利益率 (％) 44.3 48.9 48.9 42.2 19.6
株価収益率 (倍) 36.0 47.4 39.0 20.8 72.6
配当性向 (％) 28.5 27.2 27.0 26.7 70.8
営業活動による
(百万円) 11,441 15,298 20,725 23,279 ―
キャッシュ・フロー
投資活動による
(百万円) △364 △147 △2,256 △3,754 ―
キャッシュ・フロー
財務活動による
(百万円) △2,810 △5,390 △7,919 △10,353 ―
キャッシュ・フロー
現金及び現金同等物の
(百万円) 16,295 26,056 36,606 45,778 ―
期末残高
従業員数 (名) 2,161 2,638 3,310 4,321 593","{'source': 'bay_ir_2025.pdf', 'chunk_index': 5}"
bay_ir_2025.pdf::chunk::6,"期末残高
従業員数 (名) 2,161 2,638 3,310 4,321 593
株主総利回り (％) 335.6 710.9 843.2 1,046.8 1,016.9
(比較指標：TOPIX(配当
(％) (126.4) (130.7) (141.8) (188.0) (200.2)
込み))
5,830
最高株価 (円) 22,500 63,400 5,939 7,122
(49,100)
3,910
最低株価 (円) 3,775 20,480 2,951 2,788
(31,100)
(注) １．持分法を適用した場合の投資利益については、当社は、関連会社を有していないため、記載しておりませ
ん。
２．従業員数は就業人員であります。なお、平均臨時雇用人員については、従業員数の100分の10未満であるた
め、記載を省略しております。","{'chunk_index': 6, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::7,"4/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
３．「収益認識に関する会計基準」(企業会計基準第29号 2020年３月31日。以下、「収益認識会計基準」とい
う。)等を第９期の期首から適用しており、第９期以降に係る主要な経営指標等については、収益認識会計
基準等を適用した後の指標等となっております。また、収益認識会計基準等の適用を契機に、当社の実態に
応じ、適切な名称を付する観点から、第９期より「売上高」から「売上収益」として表示しております。な
お、比較を容易にするため、第８期以前においても「売上収益」として表示しております。
４．当社は、2022年11月１日付で普通株式１株につき10株の割合で株式分割を行いましたが、１株当たり純資産
額、１株当たり当期純利益及び潜在株式調整後１株当たり当期純利益については、第７期の期首に当該株式
分割が行われたと仮定して算定しております。なお、第９期、第10期及び第11期の潜在株式調整後１株当た","{'chunk_index': 7, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::8,"り当期純利益については、希薄化効果を有している潜在株式が存在しないため、記載しておりません。ま
た、第７期、第８期及び第９期の株主総利回りについては、当該株式分割が行われたと仮定して算定してお
ります。
５．第９期の１株当たり配当額163.00円については、中間配当額140.00円、期末配当額23.00円の合計でありま
す。なお、当社は、2022年11月１日付で普通株式１株につき10株の割合で株式分割を行っておりますので、
株式分割を考慮した場合の１株当たり配当額は37.00円(中間配当額14.00円、期末配当額23.00円)、株式分
割を考慮しない場合の１株当たり配当額は370.00円(中間配当額140.00円、期末配当額230.00円)となりま
す。
６．第７期及び第８期の最高株価及び最低株価については、東京証券取引所市場第一部におけるものでありま
す。
第９期の最高株価及び最低株価については、2022年４月４日以降は東京証券取引所プライム市場におけるも","{'source': 'bay_ir_2025.pdf', 'chunk_index': 8}"
bay_ir_2025.pdf::chunk::9,"のであり、それ以前は東京証券取引所市場第一部におけるものであります。なお、当社は、2022年11月１日
付で普通株式１株につき10株の割合で株式分割を行っておりますので、株式分割後の最高株価及び最低株価
を記載しており、( )内に株式分割前の最高株価及び最低株価を記載しております。
第10期及び第11期の最高株価及び最低株価については、東京証券取引所プライム市場におけるものでありま
す。
７．第11期より連結財務諸表を作成しているため、第11期の持分法を適用した場合の投資利益、営業活動による
キャッシュ・フロー、投資活動によるキャッシュ・フロー、財務活動によるキャッシュ・フロー及び現金及
び現金同等物の期末残高は記載しておりません。","{'chunk_index': 9, 'source': 'bay_ir_2025.pdf'}"
